term	reading	meaning	detail	example	exampleMeaning	partOfSpeech
予算を明確化する	よさんをめいかくかする	예산을 명확히 하다	예산을 명확히 한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を明確化した。	담당자는 회의에서 예산을 명확히 했다.	동사구
予算を最適化する	よさんをさいてきかする	예산을 최적화하다	예산을 최적화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を最適化した。	담당자는 회의에서 예산을 최적화했다.	동사구
予算を検討する	よさんをけんとうする	예산을 검토하다	예산을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を検討した。	담당자는 회의에서 예산을 검토했다.	동사구
予算を検証する	よさんをけんしょうする	예산을 검증하다	예산을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を検証した。	담당자는 회의에서 예산을 검증했다.	동사구
予算を標準化する	よさんをひょうじゅんかする	예산을 표준화하다	예산을 표준화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を標準化した。	담당자는 회의에서 예산을 표준화했다.	동사구
予算を比較する	よさんをひかくする	예산을 비교하다	예산을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を比較した。	담당자는 회의에서 예산을 비교했다.	동사구
予算を活用する	よさんをかつようする	예산을 활용하다	예산을 활용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を活用した。	담당자는 회의에서 예산을 활용했다.	동사구
予算を確認する	よさんをかくにんする	예산을 확인하다	예산을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を確認した。	담당자는 회의에서 예산을 확인했다.	동사구
予算を管理する	よさんをかんりする	예산을 관리하다	예산을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を管理した。	담당자는 회의에서 예산을 관리했다.	동사구
予算を維持する	よさんをいじする	예산을 유지하다	예산을 유지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を維持した。	담당자는 회의에서 예산을 유지했다.	동사구
予算を縮小する	よさんをしゅくしょうする	예산을 축소하다	예산을 축소한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を縮小した。	담당자는 회의에서 예산을 축소했다.	동사구
予算を記録する	よさんをきろくする	예산을 기록하다	예산을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を記録した。	담당자는 회의에서 예산을 기록했다.	동사구
予算を評価する	よさんをひょうかする	예산을 평가하다	예산을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を評価した。	담당자는 회의에서 예산을 평가했다.	동사구
予算を調整する	よさんをちょうせいする	예산을 조정하다	예산을 조정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を調整した。	담당자는 회의에서 예산을 조정했다.	동사구
予算を調査する	よさんをちょうさする	예산을 조사하다	예산을 조사한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を調査した。	담당자는 회의에서 예산을 조사했다.	동사구
予算予測	よさんよそく	예산 예측	예산을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算予測の結果を共有した。	회의에서는 예산 예측 결과를 공유했다.	복합명사
予算体系化	よさんたいけいか	예산 체계화	예산을 체계화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算体系化の結果を共有した。	회의에서는 예산 체계화 결과를 공유했다.	복합명사
予算共有	よさんきょうゆう	예산 공유	예산을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算共有の結果を共有した。	회의에서는 예산 공유 결과를 공유했다.	복합명사
予算具体化	よさんぐたいか	예산 구체화	예산을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算具体化の結果を共有した。	회의에서는 예산 구체화 결과를 공유했다.	복합명사
予算分析	よさんぶんせき	예산 분석	예산을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算分析の結果を共有した。	회의에서는 예산 분석 결과를 공유했다.	복합명사
予算可視化	よさんかしか	예산 시각화	예산을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算可視化の結果を共有した。	회의에서는 예산 시각화 결과를 공유했다.	복합명사
予算強化	よさんきょうか	예산 강화	예산을 강화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算強化の結果を共有した。	회의에서는 예산 강화 결과를 공유했다.	복합명사
予算把握	よさんはあく	예산 파악	예산을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算把握の結果を共有した。	회의에서는 예산 파악 결과를 공유했다.	복합명사
予算抑制	よさんよくせい	예산 억제	예산을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算抑制の結果を共有した。	회의에서는 예산 억제 결과를 공유했다.	복합명사
予算拡大	よさんかくだい	예산 확대	예산을 확대하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算拡大の結果を共有した。	회의에서는 예산 확대 결과를 공유했다.	복합명사
予算推進	よさんすいしん	예산 추진	예산을 추진하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算推進の結果を共有した。	회의에서는 예산 추진 결과를 공유했다.	복합명사
予算改善	よさんかいぜん	예산 개선	예산을 개선하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算改善の結果を共有した。	회의에서는 예산 개선 결과를 공유했다.	복합명사
予算改定	よさんかいてい	예산 개정	예산을 개정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算改定の結果を共有した。	회의에서는 예산 개정 결과를 공유했다.	복합명사
予算数値化	よさんすうちか	예산 수치화	예산을 수치화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算数値化の結果を共有した。	회의에서는 예산 수치화 결과를 공유했다.	복합명사
予算整理	よさんせいり	예산 정리	예산을 정리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算整理の結果を共有した。	회의에서는 예산 정리 결과를 공유했다.	복합명사
予算明確化	よさんめいかくか	예산 명확화	예산을 명확히 하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算明確化の結果を共有した。	회의에서는 예산 명확화 결과를 공유했다.	복합명사
予算最適化	よさんさいてきか	예산 최적화	예산을 최적화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算最適化の結果を共有した。	회의에서는 예산 최적화 결과를 공유했다.	복합명사
予算検討	よさんけんとう	예산 검토	예산을 검토하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算検討の結果を共有した。	회의에서는 예산 검토 결과를 공유했다.	복합명사
予算検証	よさんけんしょう	예산 검증	예산을 검증하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算検証の結果を共有した。	회의에서는 예산 검증 결과를 공유했다.	복합명사
予算標準化	よさんひょうじゅんか	예산 표준화	예산을 표준화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算標準化の結果を共有した。	회의에서는 예산 표준화 결과를 공유했다.	복합명사
予算比較	よさんひかく	예산 비교	예산을 비교하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算比較の結果を共有した。	회의에서는 예산 비교 결과를 공유했다.	복합명사
予算活用	よさんかつよう	예산 활용	예산을 활용하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算活用の結果を共有した。	회의에서는 예산 활용 결과를 공유했다.	복합명사
予算確認	よさんかくにん	예산 확인	예산을 확인하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算確認の結果を共有した。	회의에서는 예산 확인 결과를 공유했다.	복합명사
予算管理	よさんかんり	예산 관리	예산을 관리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算管理の結果を共有した。	회의에서는 예산 관리 결과를 공유했다.	복합명사
予算維持	よさんいじ	예산 유지	예산을 유지하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算維持の結果を共有した。	회의에서는 예산 유지 결과를 공유했다.	복합명사
予算縮小	よさんしゅくしょう	예산 축소	예산을 축소하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算縮小の結果を共有した。	회의에서는 예산 축소 결과를 공유했다.	복합명사
予算記録	よさんきろく	예산 기록	예산을 기록하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算記録の結果を共有した。	회의에서는 예산 기록 결과를 공유했다.	복합명사
予算評価	よさんひょうか	예산 평가	예산을 평가하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算評価の結果を共有した。	회의에서는 예산 평가 결과를 공유했다.	복합명사
予算調整	よさんちょうせい	예산 조정	예산을 조정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算調整の結果を共有した。	회의에서는 예산 조정 결과를 공유했다.	복합명사
予算調査	よさんちょうさ	예산 조사	예산을 조사하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では予算調査の結果を共有した。	회의에서는 예산 조사 결과를 공유했다.	복합명사
交渉を予測する	こうしょうをよそくする	협상을 예측하다	협상을 예측한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を予測した。	담당자는 회의에서 협상을 예측했다.	동사구
交渉を体系化する	こうしょうをたいけいかする	협상을 체계화하다	협상을 체계화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を体系化した。	담당자는 회의에서 협상을 체계화했다.	동사구
交渉を保護する	こうしょうをほごする	협상을 보호하다	협상을 보호한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を保護した。	담당자는 회의에서 협상을 보호했다.	동사구
交渉を共有する	こうしょうをきょうゆうする	협상을 공유하다	협상을 공유한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を共有した。	담당자는 회의에서 협상을 공유했다.	동사구
交渉を具体化する	こうしょうをぐたいかする	협상을 구체화하다	협상을 구체화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を具体化した。	담당자는 회의에서 협상을 구체화했다.	동사구
交渉を分析する	こうしょうをぶんせきする	협상을 분석하다	협상을 분석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を分析した。	담당자는 회의에서 협상을 분석했다.	동사구
交渉を可視化する	こうしょうをかしかする	협상을 시각화하다	협상을 시각화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を可視化した。	담당자는 회의에서 협상을 시각화했다.	동사구
交渉を強化する	こうしょうをきょうかする	협상을 강화하다	협상을 강화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を強化した。	담당자는 회의에서 협상을 강화했다.	동사구
交渉を把握する	こうしょうをはあくする	협상을 파악하다	협상을 파악한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を把握した。	담당자는 회의에서 협상을 파악했다.	동사구
交渉を抑制する	こうしょうをよくせいする	협상을 억제하다	협상을 억제한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を抑制した。	담당자는 회의에서 협상을 억제했다.	동사구
交渉を拡大する	こうしょうをかくだいする	협상을 확대하다	협상을 확대한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を拡大した。	담당자는 회의에서 협상을 확대했다.	동사구
交渉を推進する	こうしょうをすいしんする	협상을 추진하다	협상을 추진한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を推進した。	담당자는 회의에서 협상을 추진했다.	동사구
交渉を改善する	こうしょうをかいぜんする	협상을 개선하다	협상을 개선한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を改善した。	담당자는 회의에서 협상을 개선했다.	동사구
交渉を改定する	こうしょうをかいていする	협상을 개정하다	협상을 개정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を改定した。	담당자는 회의에서 협상을 개정했다.	동사구
交渉を数値化する	こうしょうをすうちかする	협상을 수치화하다	협상을 수치화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を数値化した。	담당자는 회의에서 협상을 수치화했다.	동사구
交渉を整理する	こうしょうをせいりする	협상을 정리하다	협상을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を整理した。	담당자는 회의에서 협상을 정리했다.	동사구
交渉を明確化する	こうしょうをめいかくかする	협상을 명확히 하다	협상을 명확히 한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を明確化した。	담당자는 회의에서 협상을 명확히 했다.	동사구
交渉を最適化する	こうしょうをさいてきかする	협상을 최적화하다	협상을 최적화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を最適化した。	담당자는 회의에서 협상을 최적화했다.	동사구
交渉を検討する	こうしょうをけんとうする	협상을 검토하다	협상을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を検討した。	담당자는 회의에서 협상을 검토했다.	동사구
交渉を検証する	こうしょうをけんしょうする	협상을 검증하다	협상을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を検証した。	담당자는 회의에서 협상을 검증했다.	동사구
交渉を標準化する	こうしょうをひょうじゅんかする	협상을 표준화하다	협상을 표준화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を標準化した。	담당자는 회의에서 협상을 표준화했다.	동사구
交渉を比較する	こうしょうをひかくする	협상을 비교하다	협상을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を比較した。	담당자는 회의에서 협상을 비교했다.	동사구
交渉を活用する	こうしょうをかつようする	협상을 활용하다	협상을 활용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を活用した。	담당자는 회의에서 협상을 활용했다.	동사구
交渉を確認する	こうしょうをかくにんする	협상을 확인하다	협상을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を確認した。	담당자는 회의에서 협상을 확인했다.	동사구
交渉を管理する	こうしょうをかんりする	협상을 관리하다	협상을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を管理した。	담당자는 회의에서 협상을 관리했다.	동사구
交渉を維持する	こうしょうをいじする	협상을 유지하다	협상을 유지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を維持した。	담당자는 회의에서 협상을 유지했다.	동사구
交渉を縮小する	こうしょうをしゅくしょうする	협상을 축소하다	협상을 축소한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を縮小した。	담당자는 회의에서 협상을 축소했다.	동사구
交渉を解釈する	こうしょうをかいしゃくする	협상을 해석하다	협상을 해석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を解釈した。	담당자는 회의에서 협상을 해석했다.	동사구
交渉を記録する	こうしょうをきろくする	협상을 기록하다	협상을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を記録した。	담당자는 회의에서 협상을 기록했다.	동사구
交渉を評価する	こうしょうをひょうかする	협상을 평가하다	협상을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を評価した。	담당자는 회의에서 협상을 평가했다.	동사구
交渉を調整する	こうしょうをちょうせいする	협상을 조정하다	협상을 조정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を調整した。	담당자는 회의에서 협상을 조정했다.	동사구
交渉を調査する	こうしょうをちょうさする	협상을 조사하다	협상을 조사한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で交渉を調査した。	담당자는 회의에서 협상을 조사했다.	동사구
交渉予測	こうしょうよそく	협상 예측	협상을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉予測の結果を共有した。	회의에서는 협상 예측 결과를 공유했다.	복합명사
交渉体系化	こうしょうたいけいか	협상 체계화	협상을 체계화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉体系化の結果を共有した。	회의에서는 협상 체계화 결과를 공유했다.	복합명사
交渉保護	こうしょうほご	협상 보호	협상을 보호하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉保護の結果を共有した。	회의에서는 협상 보호 결과를 공유했다.	복합명사
交渉共有	こうしょうきょうゆう	협상 공유	협상을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉共有の結果を共有した。	회의에서는 협상 공유 결과를 공유했다.	복합명사
交渉具体化	こうしょうぐたいか	협상 구체화	협상을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉具体化の結果を共有した。	회의에서는 협상 구체화 결과를 공유했다.	복합명사
交渉分析	こうしょうぶんせき	협상 분석	협상을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉分析の結果を共有した。	회의에서는 협상 분석 결과를 공유했다.	복합명사
交渉可視化	こうしょうかしか	협상 시각화	협상을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉可視化の結果を共有した。	회의에서는 협상 시각화 결과를 공유했다.	복합명사
交渉強化	こうしょうきょうか	협상 강화	협상을 강화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉強化の結果を共有した。	회의에서는 협상 강화 결과를 공유했다.	복합명사
交渉把握	こうしょうはあく	협상 파악	협상을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉把握の結果を共有した。	회의에서는 협상 파악 결과를 공유했다.	복합명사
交渉抑制	こうしょうよくせい	협상 억제	협상을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉抑制の結果を共有した。	회의에서는 협상 억제 결과를 공유했다.	복합명사
交渉拡大	こうしょうかくだい	협상 확대	협상을 확대하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉拡大の結果を共有した。	회의에서는 협상 확대 결과를 공유했다.	복합명사
交渉推進	こうしょうすいしん	협상 추진	협상을 추진하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉推進の結果を共有した。	회의에서는 협상 추진 결과를 공유했다.	복합명사
交渉改善	こうしょうかいぜん	협상 개선	협상을 개선하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉改善の結果を共有した。	회의에서는 협상 개선 결과를 공유했다.	복합명사
交渉改定	こうしょうかいてい	협상 개정	협상을 개정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉改定の結果を共有した。	회의에서는 협상 개정 결과를 공유했다.	복합명사
交渉数値化	こうしょうすうちか	협상 수치화	협상을 수치화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉数値化の結果を共有した。	회의에서는 협상 수치화 결과를 공유했다.	복합명사
交渉整理	こうしょうせいり	협상 정리	협상을 정리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉整理の結果を共有した。	회의에서는 협상 정리 결과를 공유했다.	복합명사
交渉明確化	こうしょうめいかくか	협상 명확화	협상을 명확히 하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉明確化の結果を共有した。	회의에서는 협상 명확화 결과를 공유했다.	복합명사
交渉最適化	こうしょうさいてきか	협상 최적화	협상을 최적화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉最適化の結果を共有した。	회의에서는 협상 최적화 결과를 공유했다.	복합명사
交渉検討	こうしょうけんとう	협상 검토	협상을 검토하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉検討の結果を共有した。	회의에서는 협상 검토 결과를 공유했다.	복합명사
交渉検証	こうしょうけんしょう	협상 검증	협상을 검증하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉検証の結果を共有した。	회의에서는 협상 검증 결과를 공유했다.	복합명사
交渉標準化	こうしょうひょうじゅんか	협상 표준화	협상을 표준화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉標準化の結果を共有した。	회의에서는 협상 표준화 결과를 공유했다.	복합명사
交渉比較	こうしょうひかく	협상 비교	협상을 비교하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では交渉比較の結果を共有した。	회의에서는 협상 비교 결과를 공유했다.	복합명사
